feature,origem,tipo,motivo_remocao
path_segments_with_dot_count,path,contagem,Redundante com contagem de segmentos ou segmentos com aparência de extensão.
path_max_extensions_in_segment,path,contagem,"Detalhe estrutural de prioridade menor e parcialmente coberto por barras duplas, traversal e estrutura de extensões."
path_trailing_slash,path,binaria,"Detalhe estrutural de prioridade menor e parcialmente coberto por barras duplas, traversal e estrutura de extensões."
query_distinct_parameter_name_count,query,contagem,Derivável aproximadamente da quantidade total e da repetição de parâmetros.
query_empty_name_count,query,contagem,Prioridade menor; estrutura malformada continua parcialmente coberta por fragmentos sem '=' e valores vazios.
query_mean_name_length,query,continua,Reduzido por redundância com comprimento do componente e comprimentos máximos.
query_mean_value_length,query,continua,Reduzido por redundância com comprimento do componente e comprimentos máximos.
query_total_value_length,query,contagem,Reduzido por redundância com comprimento do componente e comprimentos máximos.
body_distinct_parameter_name_count,body,contagem,Derivável aproximadamente da quantidade total e da repetição de parâmetros.
body_empty_name_count,body,contagem,Prioridade menor; estrutura malformada continua parcialmente coberta por fragmentos sem '=' e valores vazios.
body_mean_name_length,body,continua,Reduzido por redundância com comprimento do componente e comprimentos máximos.
body_mean_value_length,body,continua,Reduzido por redundância com comprimento do componente e comprimentos máximos.
body_total_value_length,body,contagem,Reduzido por redundância com comprimento do componente e comprimentos máximos.
header_has_accept,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_accept_charset,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_accept_encoding,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_accept_language,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_cache_control,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_connection,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_cookie,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_pragma,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_has_user_agent,headers,binaria,Indicador constante ou pouco informativo no CSIC e desnecessário para interpretar as features finais mantidas.
header_value_count,headers,contagem,Derivável de quantidade de headers únicos e duplicados.
content_length_declared,headers,contagem,"Redundante com comprimento do body, presença/validade do header e diferença real-declarado."
body_length_bytes,headers,contagem,"Redundante com comprimento do body, presença/validade do header e diferença real-declarado."
content_length_matches_body,headers,binaria,"Redundante com comprimento do body, presença/validade do header e diferença real-declarado."
user_agent_length,headers,contagem,"Pouca diversidade no CSIC e alto risco de memorizar o gerador, cliente ou sessão do corpus."
user_agent_token_count,headers,contagem,"Pouca diversidade no CSIC e alto risco de memorizar o gerador, cliente ou sessão do corpus."
user_agent_parenthesis_count,headers,contagem,"Pouca diversidade no CSIC e alto risco de memorizar o gerador, cliente ou sessão do corpus."
host_header_length,headers,contagem,Parcialmente redundante com informações de host/porta da URL e coerência de host mantida.
host_header_port_present,headers,binaria,Parcialmente redundante com informações de host/porta da URL e coerência de host mantida.
host_header_port_valid,headers,binaria,Parcialmente redundante com informações de host/porta da URL e coerência de host mantida.
cookie_length,headers,contagem,"Pouca diversidade no CSIC e alto risco de memorizar o gerador, cliente ou sessão do corpus."
cookie_pair_count,headers,contagem,"Pouca diversidade no CSIC e alto risco de memorizar o gerador, cliente ou sessão do corpus."
