ordem,nome_feature,origem,tipo,descricao,justificativa_permanencia
44,query_parameter_count,query,contagem,Quantidade de pares de parâmetros. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
45,query_repeated_parameter_count,query,contagem,Parâmetros repetidos. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
46,query_empty_value_count,query,contagem,Parâmetros com valor vazio. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
47,query_without_equals_count,query,contagem,Partes sem sinal de igual. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
48,query_max_name_length,query,contagem,Maior nome de parâmetro. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
49,query_max_value_length,query,contagem,Maior valor de parâmetro. Aplicada a query.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
50,body_present,body,binaria,Presença do componente. Aplicada a body.,Distingue ausência legítima do componente de medidas numericamente iguais a zero.
51,body_length_raw,body,contagem,Comprimento bruto. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
52,body_percent_encoding_count,body,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
53,body_invalid_percent_count,body,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
54,body_non_ascii_count,body,contagem,Caracteres não ASCII após uma decodificação. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
55,body_control_char_count,body,contagem,Caracteres de controle. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
56,body_digit_ratio,body,continua,Proporção de caracteres numéricos. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
57,body_special_ratio,body,continua,Proporção de caracteres especiais. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
58,body_sql_pattern_count,body,contagem,Ocorrências de padrões SQL genéricos. Aplicada a body.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
59,body_xss_pattern_count,body,contagem,Ocorrências de padrões XSS genéricos. Aplicada a body.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
60,body_traversal_pattern_count,body,contagem,Ocorrências de segmentos de navegação relativa. Aplicada a body.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
61,body_shell_metachar_count,body,contagem,Metacaracteres comuns de shell/comando. Aplicada a body.,Contagem genérica de padrões defensivos; reproduzível e independente de nomes específicos de parâmetros.
62,body_parameter_count,body,contagem,Quantidade de pares de parâmetros. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
63,body_repeated_parameter_count,body,contagem,Parâmetros repetidos. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
64,body_empty_value_count,body,contagem,Parâmetros com valor vazio. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
65,body_without_equals_count,body,contagem,Partes sem sinal de igual. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
66,body_max_name_length,body,contagem,Maior nome de parâmetro. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
67,body_max_value_length,body,contagem,Maior valor de parâmetro. Aplicada a body.,"Resume estrutura, codificação ou composição de parâmetros sem memorizar seus nomes ou valores."
68,header_unique_count,headers,contagem,Quantidade de nomes de headers distintos.,"Resumo genérico da estrutura de headers, sem usar valores identificadores do corpus."
69,header_duplicate_count,headers,contagem,Ocorrências duplicadas de headers.,"Resumo genérico da estrutura de headers, sem usar valores identificadores do corpus."
70,header_has_host,headers,binaria,Presença do header host.,Indicador necessário para distinguir header ausente de valor inválido ou medida igual a zero.
71,header_has_content_type,headers,binaria,Presença do header content-type.,Indicador necessário para distinguir header ausente de valor inválido ou medida igual a zero.
72,content_type_is_form_urlencoded,headers,binaria,Content-Type de formulário URL-encoded.,Representa semântica e coerência do corpo usando propriedades reproduzíveis em tempo real.
73,header_has_content_length,headers,binaria,Presença do header content-length.,Indicador necessário para distinguir header ausente de valor inválido ou medida igual a zero.
74,content_length_valid,headers,binaria,Content-Length inteiro não negativo.,Representa semântica e coerência do corpo usando propriedades reproduzíveis em tempo real.
75,content_length_delta,headers,contagem_assinada,Diferença entre tamanho real e declarado.,Representa semântica e coerência do corpo usando propriedades reproduzíveis em tempo real.
76,host_matches_url_host,headers,binaria,Coerência entre Host e hostname da URL.,"Representa genericamente presença, forma e coerência do host sem memorizar hostname do CSIC."
